id;staff_id;services
1;1;557
2;2;855
3;3;543
4;4;855
5;5;543
6;6;557
7;7;287
8;8;415
9;9;323
10;10;229
11;11;287
12;12;619
13;13;323
14;14;855
15;15;229
16;16;557
17;17;346
18;18;619
19;19;176
20;20;323
21;21;346
22;22;855
23;23;836
24;24;548
25;25;543
26;26;548
27;27;501
28;28;176
29;29;836
30;30;346
31;31;548
32;32;836
33;33;548
34;34;501
35;35;797
36;36;415
37;37;836
38;38;501
39;39;836
40;40;797
41;41;176
42;42;501
43;43;619
44;44;415
45;45;543
46;46;415
47;47;323
48;48;176
49;49;548
50;50;659
51;51;176
52;52;287
53;53;797
54;54;836
55;55;543
56;56;287
57;57;619
58;58;176
59;59;836
60;60;543
61;61;557
62;62;346
63;63;323
64;64;258
65;65;176
66;66;855
67;67;229
68;68;619
69;69;346
70;70;836
71;71;346
72;72;548
73;73;619
74;74;346
75;75;176
76;76;548
77;77;258
78;78;323
79;79;287
80;80;287
81;81;501
82;82;287
83;83;659
84;84;415
85;85;415
86;86;836
87;87;323
88;88;346
89;89;855
90;90;548
91;91;557
92;92;323
93;93;501
94;94;323
95;95;415
96;96;311
97;97;176
98;98;229
99;99;659
100;100;548
101;1;836
102;2;619
103;3;836
104;4;258
105;5;415
106;6;836
107;7;619
108;8;311
109;9;548
110;10;346
111;12;258
112;13;311
113;14;176
114;15;836
115;17;836
116;18;258
117;19;543
118;20;855
119;21;855
120;22;287
121;23;836
122;24;557
123;25;836
124;26;855
125;27;797
126;28;855
127;29;176
128;31;229
129;32;836
130;34;258
131;35;287
132;36;543
133;39;258
134;40;346
135;41;619
136;42;258
137;44;619
138;47;548
139;48;659
140;50;501
141;51;311
142;52;287
143;53;323
144;54;543
145;55;287
146;56;557
147;57;323
148;58;855
149;59;548
150;61;287
151;62;258
152;63;501
153;65;229
154;66;287
155;67;323
156;68;258
157;69;311
158;70;346
159;72;258
160;73;659
161;74;176
162;75;619
163;76;543
164;78;287
165;81;176
166;82;501
167;83;543
168;84;323
169;85;176
170;86;229
171;87;229
172;88;548
173;89;619
174;90;311
175;91;548
176;92;855
177;93;501
178;95;543
179;96;855
180;97;836
181;98;415
182;100;346
183;1;287
184;2;557
185;5;619
186;6;229
187;7;548
188;8;176
189;9;346
190;10;501
191;12;229
192;13;557
193;14;176
194;15;287
195;17;346
196;19;855
197;20;659
198;21;323
199;23;229
200;24;176
201;27;797
202;29;619
203;31;258
204;32;797
205;34;659
206;35;855
207;36;836
208;39;619
209;40;543
210;48;287
211;50;415
212;51;855
213;52;659
214;53;548
215;54;548
216;55;258
217;56;543
218;57;855
219;61;836
220;62;543
221;63;501
222;66;797
223;67;501
224;68;501
225;69;346
226;70;836
227;72;311
228;73;346
229;74;176
230;75;287
231;76;548
232;78;659
233;81;176
234;82;287
235;83;501
236;84;346
237;85;836
238;86;346
239;87;258
240;88;548
241;90;346
242;91;557
243;92;229
244;93;855
245;96;797
246;97;346
247;98;258
248;100;311
249;2;836
250;5;557
251;7;346
252;8;855
253;10;548
254;12;557
255;14;855
256;15;619
257;19;258
258;20;287
259;21;557
260;23;258
261;29;258
262;31;619
263;34;501
264;35;346
265;40;501
266;51;176
267;54;311
268;57;229
269;61;287
270;62;323
271;67;258
272;68;287
273;69;176
274;72;229
275;74;415
276;75;311
277;76;855
278;78;176
279;82;311
280;83;659
281;84;311
282;85;287
283;86;346
284;87;258
285;90;311
286;91;323
287;93;797
288;96;855
289;97;501
290;98;619
291;3;548
292;13;797
293;22;501
294;24;836
295;35;659
296;41;258
297;63;176
298;68;415
299;75;415
300;76;619
301;84;548
302;88;415
303;92;557
304;94;501
305;98;176
